0,1,2,3,4,5
,2020-06-05(11_00_11),2020-06-05(11_07_57),2020-06-05(11_12_52),2020-06-05(11_17_24),2020-06-05(12_06_34)
,NA----,NA----,NA----,NA----,NA----
,1196,1196,1196,1196,1196
,1202,1202,1202,1202,1203
,1212,1212,1212,1212,1212
,1220,1220,1220,1220,1218
,1225,1225,1225,1225,1225
,1233,1233,1233,1233,1232
,1244,1244,1244,1244,1243
,1244,1244,1244,1244,1245
,1243,1243,1243,1243,1245
,1244,1244,1244,1244,1247
,1244,1244,1244,1244,1247
,1245,1245,1245,1245,1246
,1245,1245,1245,1245,1247
,1245,1245,1245,1245,1247
,1245,1245,1245,1245,1247
,1245,1245,1245,1245,1247
,1245,1245,1245,1245,1247
,1245,1245,1245,1245,1247
,1245,1245,1245,1245,1247
,1246,1246,1246,1246,1246
,1246,1246,1246,1246,1247
,1246,1246,1246,1246,1247
,1246,1246,1246,1246,1247
,1247,1247,1247,1247,1247
,1247,1247,1247,1247,1248
,1247,1247,1247,1247,1248
,1247,1247,1247,1247,1248
,1247,1247,1247,1247,1248
,1247,1247,1247,1247,1249
,1247,1247,1247,1247,1248
,1247,1247,1247,1247,1248
,1247,1247,1247,1247,1249
,1247,1247,1247,1247,1249
,1247,1247,1247,1247,1249
,1248,1248,1248,1248,1249
,1248,1248,1248,1248,1249
,1248,1248,1248,1248,1249
,1248,1248,1248,1248,1249
,1248,1248,1248,1248,1250
,1248,1248,1248,1248,1250
,1248,1248,1248,1248,1250
,1248,1248,1248,1248,1250
,1248,1248,1248,1248,1251
,1248,1248,1248,1248,1250
,1248,1248,1248,1248,1250
,1249,1249,1249,1249,1251
,1249,1249,1249,1249,1251
,1250,1250,1250,1250,1252
,1250,1250,1250,1250,1252
,1248,1248,1248,1248,1252
,1248,1248,1248,1248,1253
,1248,1248,1248,1248,1253
,1248,1248,1248,1248,1252
,1248,1248,1248,1248,1252
,1249,1249,1249,1249,1252
,1249,1249,1249,1249,1252
,1250,1250,1250,1250,1252
,1249,1249,1249,1249,1252
,1250,1250,1250,1250,1252
,1250,1250,1250,1250,1252
,1250,1250,1250,1250,1252
,1251,1251,1251,1251,1253
,1251,1251,1251,1251,1253
,1251,1251,1251,1251,1253
,1252,1252,1252,1252,1254
,1252,1252,1252,1252,1254
,1252,1252,1252,1252,1254
,1252,1252,1252,1252,1254
,1252,1252,1252,1252,1254
,1252,1252,1252,1252,1255
,1252,1252,1252,1252,1254
,1253,1253,1253,1253,1254
,1253,1253,1253,1253,1254
,1253,1253,1253,1253,1254
,1253,1253,1253,1253,1254
,1252,1252,1252,1252,1254
,1253,1253,1253,1253,1254
,1253,1253,1253,1253,1254
,1253,1253,1253,1253,1255
,1253,1253,1253,1253,1255
,1253,1253,1253,1253,1255
,1253,1253,1253,1253,1255
,1253,1253,1253,1253,1255
,1253,1253,1253,1253,1255
,1254,1254,1254,1254,1255
,1254,1254,1254,1254,1255
,1254,1254,1254,1254,1256
,1254,1254,1254,1254,1256
,1254,1254,1254,1254,1256
,1254,1254,1254,1254,1256
,1255,1255,1255,1255,1256
,1256,1256,1256,1256,1256
,1255,1255,1255,1255,1256
,1256,1256,1256,1256,1256
,1256,1256,1256,1256,1256
,1256,1256,1256,1256,1256
,1256,1256,1256,1256,1256
,1256,1256,1256,1256,1256
,1256,1256,1256,1256,1256
,1255,1255,1255,1255,1256
,1255,1255,1255,1255,1256
,1255,1255,1255,1255,1257
,1255,1255,1255,1255,1257
,1255,1255,1255,1255,1257
,1255,1255,1255,1255,1257
,1255,1255,1255,1255,1257
,1255,1255,1255,1255,1257
,1255,1255,1255,1255,1257
,1255,1255,1255,1255,1256
,1255,1255,1255,1255,1257
,1255,1255,1255,1255,1257
,1255,1255,1255,1255,1257
,1255,1255,1255,1255,1257
,1255,1255,1255,1255,1257
,1255,1255,1255,1255,1257
,1255,1255,1255,1255,1257
,1255,1255,1255,1255,1258
,1256,1256,1256,1256,1258
,1256,1256,1256,1256,1258
,1256,1256,1256,1256,1258
,1257,1257,1257,1257,1258
,1257,1257,1257,1257,1258
,1257,1257,1257,1257,1258
,1256,1256,1256,1256,1258
,1256,1256,1256,1256,1258
,,,,,1258
